Nombre,Longitud,Latitud
5dmQoiljsR-1,-62.1563181753176,-36.513344767404774
5feZ1qHW7h-1,-62.11005492546454,-36.51826082615808
5gAmqJraQV-1,-62.25769126495534,-36.61817591749031
5gAmqJraQV-2,-62.253175999999996,-36.618541
5gAmqJraQV-3,-62.252891,-36.618776
5gAmqJraQV-4,-62.25237849999999,-36.6191855
5gmHGFlJFw-1,-62.01132244884191,-36.514654626081544
5GT9kQwxhO-1,-61.834928886987925,-36.69323998136475
5gupvAkHuX-1,-62.17953101514427,-36.46110597584207
5gupvAkHuX-2,-62.17489413175226,-36.46047555356653
5GuRE0N0t2-1,-62.11967589783431,-36.49992785666761
5GuRE0N0t2-2,-62.112181922194154,-36.50509653711935
5ka0HUqTPs-1,-62.032719406903496,-36.53421880488652
5mxI1DlJo0-1,-62.11343863418074,-36.411229749183136
5OwslilwcV-1,-62.17757239996643,-36.39938852464951
5P1Isf9NQn-1,-62.13512599291957,-36.4162949269655
5qcWMZqtXx-1,-62.184374063237364,-36.47121859605198
5qVIwBuOdZ-1,-62.10873649255597,-36.419123163248685
5reiWmOBZe-1,-62.10927924722992,-36.49468358765352
5RMiCdY7ty-1,-62.103466716836515,-36.53730343934854
5S53DXr8Um-1,-62.07915446385934,-36.530678469288304
5uxHBltP98-1,-62.05089847639951,-36.54591169020113
5Xpj7paOMh-1,-61.97224223458043,-36.56947487306077
5xqwqBU6Sc-1,-62.10915257422374,-36.542092810094644
5xUpey86ZY-1,-62.07459928656552,-36.49120997831294
5YjxyoFC75-1,-62.194046684926136,-36.38038850577449
5Yxc8DbPiG-1,-61.74155326809577,-36.65452367859381
61hx6wuUsP-1,-62.06051500060135,-36.545806562158795
61Vp4nBvBG-1,-62.24255901663167,-36.61252391691041
63wLE9F7IL-1,-62.16736908189996,-36.397461362165615
63wWeOGL0a-1,-62.12570008351532,-36.483696910777134
67tZSLWZfv-1,-62.10923958300416,-36.542200288378694
6aGqnYhTFN-1,-62.24050868241761,-36.62475627835713
6BOSkhjYt8-1,-62.08447235348395,-36.541577914997546
6d4CRLLXVY-1,-61.79519731953742,-36.651867206342125
6EGaTRSCfk-1,-62.0681850196356,-36.54823157580645
6g4Etvu1wt-1,-62.09707334458471,-36.43155670250065
6g4Etvu1wt-2,-62.105211,-36.428548
6KhjOvyT7o-1,-62.07054896534132,-36.54048930051474
6KhjOvyT7o-2,-62.06491633333333,-36.540583999999996
6KhjOvyT7o-3,-62.065141,-36.540310999999996
6laxXt9JCF-1,-62.036221829929985,-36.531291605445475
6ljVCFoU51-1,-62.06782646822733,-36.494071858139016
6ljVCFoU51-10,-62.069205000000004,-36.49775533333333
6ljVCFoU51-11,-62.073782999999985,-36.49692366666666
6ljVCFoU51-12,-62.065462999999994,-36.50055
6ljVCFoU51-13,-62.069658,-36.502885
6ljVCFoU51-14,-62.068915999999994,-36.502725
6ljVCFoU51-15,-62.068144999999994,-36.502891
6ljVCFoU51-16,-62.065805,-36.501536
6ljVCFoU51-17,-62.0669,-36.502753
6ljVCFoU51-18,-62.068062999999995,-36.5039565
6ljVCFoU51-19,-62.075137999999995,-36.498011
6ljVCFoU51-2,-62.06672323318927,-36.500990990860224
6ljVCFoU51-20,-62.073744999999995,-36.498201
6ljVCFoU51-21,-62.072485,-36.497319666666655
6ljVCFoU51-22,-62.07042,-36.497505
6ljVCFoU51-23,-62.072357999999994,-36.49944
6ljVCFoU51-24,-62.072173,-36.499231
6ljVCFoU51-25,-62.06923415922422,-36.497193232381285
6ljVCFoU51-26,-62.07489630601095,-36.497682765027335
6ljVCFoU51-3,-62.066171,-36.501484999999995
6ljVCFoU51-4,-62.06603825727537,-36.5006263020728
6ljVCFoU51-5,-62.066075,-36.500268
6ljVCFoU51-6,-62.065958138731816,-36.50265437676227
6ljVCFoU51-7,-62.06503259838883,-36.50199431894352
6ljVCFoU51-8,-62.063627529516694,-36.500448680680634
6ljVCFoU51-9,-62.066428605943216,-36.50317696782728
6O7ljJMuQ3-1,-62.10920301505099,-36.518552652234916
6pD564mQGv-1,-62.17880678060787,-36.48243015215428
6QQp7w1fwe-1,-62.04883855516263,-36.4981964228445
6UhcEtq5v9-1,-62.15245023197596,-36.54249433004678
6YcJ2rYkh5-1,-62.09971008250222,-36.526587611759744
70CJx5wzdH-1,-62.14464508148654,-36.40668032739062
741ExOzcTa-1,-62.133940484984315,-36.49898526338283
74PJ1NuChl-1,-62.10985830139765,-36.42936969810508
74UZR7DQXp-1,-61.97726450529296,-36.59489322276035
78U2Ywp8M8-1,-62.12454531454653,-36.49467369080135
78U2Ywp8M8-2,-62.132463480586274,-36.48899411459296
7a3qMMcdLH-1,-62.18218354186229,-36.467684010655596
7a3qMMcdLH-2,-62.18102416666667,-36.46513216666666
7BJyDtFL7L-1,-62.121619364113826,-36.42883463592178
7dDX4ltKRF-1,-62.19186511722731,-36.38362437894615
7dMOpE23yg-1,-62.09657234987471,-36.531737233295914
7fwqxvQPWx-1,-62.07457344847184,-36.49119531684778
7G6fFlOJXR-1,-62.14362836346002,-36.52286060710498
7I2P9ZSmuk-1,-62.15174829809551,-36.483760641062034
7kecFTiHDW-1,-62.17820814282967,-36.347126685032116
7M7iPonFCr-1,-62.23555871885479,-36.347326953705796
7rO3cS5Ch3-1,-62.081047273986485,-36.48356720048942
